Date,Decile 2,Decile 9,CPIH
Dec-20,0.7,0.9,0.8
Jan-21,0.8,1.1,0.9
Feb-21,0.6,0.8,0.7
Mar-21,0.7,1.1,1.0
Apr-21,1.5,1.7,1.6
May-21,2.0,2.2,2.1
Jun-21,2.2,2.6,2.4
Jul-21,1.8,2.2,2.1
Aug-21,2.7,3.2,3.0
Sep-21,2.7,3.1,2.9
Oct-21,3.8,3.8,3.8
Nov-21,4.6,4.6,4.6
Dec-21,4.8,4.8,4.8
Jan-22,5.0,4.9,4.9
Feb-22,5.6,5.4,5.5
Mar-22,6.2,6.2,6.2
Apr-22,8.3,7.5,7.8
May-22,8.4,7.6,7.9
Jun-22,8.7,7.8,8.2
Jul-22,9.4,8.4,8.8
Aug-22,9.2,8.3,8.6
Sep-22,9.5,8.4,8.8
Oct-22,10.5,9.1,9.6
